Comment,Description,Designator,Quantity,Man. Part Number

"IPC-7351 Fiducial 1mm","IPC-7351 Fiducial 1mm","MCH.FID.1, MCH.FID.2","2",""
"0805","0805, X5R or better","MCU.C.1, MCU.C.4, MCU.C.5, MCU.C.6, MCU.C.7, MCU.C.8, MCU.C.9, MCU.C.22, MOS.C.2, MOS.C.3, MOS.C.10, MOS.C.11","12",""
"0805","Chip resistor","MCU.R.1, MCU.R.5, MOS.R.3, MOS.R.4, USB.R.6, USB.R.7","6",""
"ATMEGA32U4RC-AU","IC MCU 8BIT 32KB FLASH 44TQFP","MCU.U.1","1",""
"ECS-160-12-30B-AGM","16MHz Crystal 12pF 100 Ohms 4-SMD, No Lead","MCU.Y.1","1",""
"SIDELED-A67F","Red/Orange/Yellow Side-facing SMT LEDs, high brightness (~2lm)","MOS.D.1","1",""
"ADNS-5050","Optical Mouse Navigation Sensor","MOS.U.2","1",""
"ACML-0805-601-T","FERRITE BEAD 600 OHM 0805 1LN","USB.FB.1, USB.FB.2, USB.FB.3","3",""
"10118192-0001LF","CONN RCPT USB2.0 MICRO B SMD R/A","USB.J.2","1",""
"IP4220CZ6,125","TVS DIODE 5.5V 6TSOP (Low capacitance, USB)","USB.Z.1","1",""
